Image,Label
aidataset/4274.jpg,0
aidataset/1679.jpg,0
aidataset/752.jpg,0
aidataset/1549.jpg,0
aidataset/3829.jpg,0
aidataset/1950.jpg,0
aidataset/1331.jpg,0
aidataset/669.jpg,0
aidataset/3186.jpg,0
aidataset/849.jpg,0
aidataset/4300.jpg,0
aidataset/3283.jpg,0
aidataset/2458.jpg,0
aidataset/3820.jpg,0
aidataset/46.jpg,0
aidataset/2144.jpg,0
aidataset/1541.jpg,0
aidataset/3625.jpg,0
aidataset/2271.jpg,0
aidataset/2755.jpg,0
aidataset/2046.jpg,0
aidataset/3496.jpg,0
aidataset/3504.jpg,0
aidataset/3210.jpg,0
aidataset/1085.jpg,0
aidataset/2409.jpg,0
aidataset/715.jpg,0
aidataset/452.jpg,0
aidataset/2559.jpg,0
aidataset/3605.jpg,0
aidataset/3587.jpg,0
aidataset/3296.jpg,0
aidataset/3437.jpg,0
aidataset/1473.jpg,0
aidataset/1357.jpg,0
aidataset/2599.jpg,0
aidataset/359.jpg,0
aidataset/2518.jpg,0
aidataset/3999.jpg,0
aidataset/3360.jpg,0
aidataset/4077.jpg,0
aidataset/2403.jpg,0
aidataset/3923.jpg,0
aidataset/596.jpg,0
aidataset/4015.jpg,0
aidataset/799.jpg,0
aidataset/3005.jpg,0
aidataset/2158.jpg,0
aidataset/4111.jpg,0
aidataset/3008.jpg,0
aidataset/3319.jpg,0
aidataset/1931.jpg,0
aidataset/2383.jpg,0
aidataset/1750.jpg,0
aidataset/2118.jpg,0
aidataset/2793.jpg,0
aidataset/794.jpg,0
aidataset/1109.jpg,0
aidataset/4240.jpg,0
aidataset/2535.jpg,0
aidataset/689.jpg,0
aidataset/843.jpg,0
aidataset/1194.jpg,0
aidataset/948.jpg,0
aidataset/50.jpg,0
aidataset/2863.jpg,0
aidataset/3481.jpg,0
aidataset/1216.jpg,0
aidataset/1566.jpg,0
aidataset/463.jpg,0
aidataset/2841.jpg,0
aidataset/662.jpg,0
aidataset/3462.jpg,0
aidataset/2109.jpg,0
aidataset/3073.jpg,0
aidataset/3381.jpg,0
aidataset/875.jpg,0
aidataset/2676.jpg,0
aidataset/2582.jpg,0
